標準分類編碼,行情代號(水產品代號),品種,中文名稱,英文名稱,學名名稱,俗名名稱
4711247358095,SB9,統稱(其他),胡蘿蔔,Carrot,Daucus carota  L. subsp. sativus,紅蘿蔔，紅菜頭，赤珊瑚，菜人參
4711247361002,LS1,統稱(其他),茴香,Fennel,Foeniculum vulgare  Mill.,懷香，茴香子，香絲菜
4711247361019,,統稱(其他),茴香,Fennel,Foeniculum vulgare  Mill.,懷香，茴香子，香絲菜
4711247361095,,統稱(其他),茴香,Fennel,Foeniculum vulgare  Mill.,懷香，茴香子，香絲菜
4711247362009,,統稱(其他),甜茴香,Florence fennel， Fennel Sweet,Foeniculum vulgare  var.  dulce  Fiori,
4711247362016,,統稱(其他),甜茴香,Florence fennel， Fennel Sweet,Foeniculum vulgare  var.  dulce  Fiori,
4711247362092,,統稱(其他),甜茴香,Florence fennel， Fennel Sweet,Foeniculum vulgare  var.  dulce  Fiori,
4711247363006,,統稱(其他),刺芹,Java coriander， Culantro， Acapate， Foetid eryngo,Eryngium foetidum  L.,香芹，假芫荽，洋芫荽，日本香菜，節節花
4711247363013,,統稱(其他),刺芹,Java coriander， Culantro， Acapate， Foetid eryngo,Eryngium foetidum  L.,香芹，假芫荽，洋芫荽，日本香菜，節節花
4711247363099,,統稱(其他),刺芹,Java coriander， Culantro， Acapate， Foetid eryngo,Eryngium foetidum  L.,香芹，假芫荽，洋芫荽，日本香菜，節節花
4711247192095,,統稱(其他),胡瓜類,NA,,
4711247192101,,萬吉，清綠，夏笛,大胡瓜,Cucumber,Cucumis sativus  L.,刺瓜，王瓜，黃瓜
4711247192118,,萬吉，清綠，夏笛,大胡瓜,Cucumber,Cucumis sativus  L.,刺瓜，王瓜，黃瓜
4711247192125,,萬吉，清綠，夏笛,大胡瓜,Cucumber,Cucumis sativus  L.,刺瓜，王瓜，黃瓜
4711247192194,,萬吉，清綠，夏笛,大胡瓜,Cucumber,Cucumis sativus  L.,刺瓜，王瓜，黃瓜
4711247192200,,喜燕，鳳燕，阿信,小胡瓜,Cucumber,Cucumis sativus  L.,小黃瓜，花瓜
4711247192217,,喜燕，鳳燕，阿信,小胡瓜,Cucumber,Cucumis sativus  L.,小黃瓜，花瓜
4711247192224,,喜燕，鳳燕，阿信,小胡瓜,Cucumber,Cucumis sativus  L.,小黃瓜，花瓜
4711247192293,,喜燕，鳳燕，阿信,小胡瓜,Cucumber,Cucumis sativus  L.,小黃瓜，花瓜
4711247198004,,統稱(其他),南瓜類,NA,,
4711247210010,,統稱(其他),絲瓜類,NA,,菜瓜，布瓜，天絲瓜，天絡
4711247210027,,統稱(其他),絲瓜類,NA,,菜瓜，布瓜，天絲瓜，天絡
4711247210041,,統稱(其他),絲瓜類,NA,,菜瓜，布瓜，天絲瓜，天絡
4711247210096,FF9,統稱(其他),絲瓜類,NA,,菜瓜，布瓜，天絲瓜，天絡
4711247210102,FF2,三喜，三喜2號，美菱，中屯種(澎湖地方品種),稜角絲瓜,Angled loofah， Chinese okra,Luffa acutangula  (L.) Roxb.,澎湖絲瓜，角瓜，十角絲瓜，雨傘絲瓜，廣東絲瓜，金門菜瓜
4711247210119,,三喜，三喜2號，美菱，中屯種(澎湖地方品種),稜角絲瓜,Angled loofah， Chinese okra,Luffa acutangula  (L.) Roxb.,澎湖絲瓜，角瓜，十角絲瓜，雨傘絲瓜，廣東絲瓜，金門菜瓜
4711247210126,,三喜，三喜2號，美菱，中屯種(澎湖地方品種),稜角絲瓜,Angled loofah， Chinese okra,Luffa acutangula  (L.) Roxb.,澎湖絲瓜，角瓜，十角絲瓜，雨傘絲瓜，廣東絲瓜，金門菜瓜
4711247210140,,三喜，三喜2號，美菱，中屯種(澎湖地方品種),稜角絲瓜,Angled loofah， Chinese okra,Luffa acutangula  (L.) Roxb.,澎湖絲瓜，角瓜，十角絲瓜，雨傘絲瓜，廣東絲瓜，金門菜瓜
4711247210195,FF9,三喜，三喜2號，美菱，中屯種(澎湖地方品種),稜角絲瓜,Angled loofah， Chinese okra,Luffa acutangula  (L.) Roxb.,澎湖絲瓜，角瓜，十角絲瓜，雨傘絲瓜，廣東絲瓜，金門菜瓜
4711247210201,FF1,新城白花，銀光粗鱗種，白皮種，溪州種，台農1號，台農2號,圓筒絲瓜,Vegetable sponge， smooth loofah,Luffa aegyptiaca  Mill.,菜瓜，布瓜，天絲瓜，天絡
4711247298490,,,(其他),NA,Capsicum  spp.,
4711247304009,FK5,天王星,青椒統稱(其他),NA,Capsicum  annuum  Grossum group L.,甜椒
4711247304016,,天王星,青椒統稱(其他),NA,Capsicum  annuum  Grossum group L.,甜椒
4711247304092,FK9,天王星,青椒統稱(其他),NA,Capsicum  annuum  Grossum group L.,甜椒
4711247309004,FK4,統稱(其他),彩色甜椒,Sweet pepper,Capsicum  annuum  Grossum group L.,
4711247309011,,統稱(其他),彩色甜椒,Sweet pepper,Capsicum  annuum  Grossum group L.,
4711247309097,FK9,統稱(其他),彩色甜椒,Sweet pepper,Capsicum  annuum  Grossum group L.,
4711247314008,,統稱(其他),枸杞葉,Chinese wolfberry ， Box thorn,Lycium chinense  Miller.,枸繼，枸刺，苦杞，地骨，地節，地仙
4711247314015,,統稱(其他),枸杞葉,Chinese wolfberry ， Box thorn,Lycium chinense  Miller.,枸繼，枸刺，苦杞，地骨，地節，地仙
4711247314091,,統稱(其他),枸杞葉,Chinese wolfberry ， Box thorn,Lycium chinense  Miller.,枸繼，枸刺，苦杞，地骨，地節，地仙
4711247175418,,新世紀，新秀，雪裡華，哈蜜脆，新綠蛙,哈密瓜,Chinese hami melon，  Musk melon,Cucumis melo  L. var.  saccharinus  Naud.,
